# XviD 2pass stat file (core version 1.2.2)
# Please do not modify this file

i 2 5120 0 0 335513 18236
b 4 0 5120 0 1489 1489
b 4 0 5120 0 1493 1493
p 2 33 1774 3313 89705 4226
b 4 0 5120 0 1002 996
b 4 0 5120 0 1004 1004
p 2 0 1191 3929 9325 3237
b 4 0 5120 0 492 492
b 4 0 5120 0 492 492
p 2 0 596 4524 4418 2758
b 4 0 5120 0 501 501
b 4 0 5120 0 501 501
p 2 0 525 4595 3274 2712
b 4 0 5120 0 386 386
b 4 0 5120 0 386 386
p 2 0 198 4922 2549 2506
b 4 0 5120 0 411 411
b 4 0 5120 0 417 412
p 2 0 178 4942 3433 2480
b 4 0 5120 0 359 359
b 4 0 5120 0 358 358
p 2 0 63 5057 2742 2397
